ASIN,Title,Author,PurchaseDate
"B002XHNONS","Mindsight: The New Science of Personal Transformation","Siegel, Daniel J.:","N/A"
"B081Y3QF4C","The End of Alzheimer's Program: The First Protocol to Enhance Cognition and Reverse Decline at Any Age","Bredesen, Dale:","N/A"
"B0CW1QXP31","The Final Pandemic: An Antidote To Medical Tyranny","Bailey, Mark:Bailey, Samantha:","N/A"
"B000FA5SGG","Healing Back Pain: The Mind-Body Connection","Sarno, John E.:","N/A"
"B0CPW59GMF","What the Nurses Saw: An Investigation Into Systemic Medical Murders That Took Place in Hospitals During the COVID Panic and the Nurses Who Fought Back ... Their Patients (Medical System Corruption)","McCarthy, Ken:","N/A"
"B017I25DCC","The Gene: An Intimate History","Mukherjee, Siddhartha:","N/A"
"B0B6S1ZNLC","Turtles All The Way Down: Vaccine Science and Myth","Anonymous:","N/A"
"B00QG5SW58","Rewire Your Anxious Brain: How to Use the Neuroscience of Fear to End Anxiety, Panic, and Worry","Pittman PhD, Catherine M.:Karle MLIS, Elizabeth M.:","N/A"
"B09FK3FB79","The Rise and Reign of the Mammals: A New History, from the Shadow of the Dinosaurs to Us","Brusatte, Steve:","N/A"
"B000MAH66Y","Freakonomics Rev Ed: A Rogue Economist Explores the Hidden Side of Everything","Levitt, Steven D.:Dubner, Stephen J.:","N/A"
"B00BAXFBI2","Operation Paperclip: The Secret Intelligence Program that Brought Nazi Scientists to America","Jacobsen, Annie:","N/A"
"B09NTKBHQZ","Starry Messenger: Cosmic Perspectives on Civilization","Tyson, Neil deGrasse:","N/A"
"B00YBBKMHA","Into the Magic Shop: A Neurosurgeon's Quest to Discover the Mysteries of the Brain and the Secrets ofthe Heart","Doty MD, James:","N/A"
"B003E749TE","The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom","Haidt, Jonathan:","N/A"
"B00JTYBWMI","Life After Life: The Bestselling Original Investigation That Revealed Near-Death Experiences","Moody, Raymond:","N/A"
"B0BP6LL8LW","Legacy: A Black Physician Reckons with Racism in Medicine","Blackstock MD, Uché:","N/A"
"B0CFZLZY14","Practical Optimism: The Art, Science, and Practice of Exceptional Well-Being","Varma, Sue:","N/A"
"B00JGAS65Q","The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution","Isaacson, Walter:","N/A"
"B09QYDQQ7N","What If? 2: Additional Serious Scientific Answers to Absurd Hypothetical Questions","Munroe, Randall:","N/A"
"B06XP3GJ7F","The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change","Fournier, Camille:","N/A"
"B0BL738ZLL","The Underworld: Journeys to the Depths of the Ocean","Casey, Susan:","N/A"
"B07THBZ4VD","Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life","Miller, Lulu:","N/A"
"B00QFOP45Q","Taking Charge of Your Fertility: The Definitive Guide to Natural Birth Control, Pregnancy Achievement, and Reproductive Health","Weschler, Toni:","N/A"
"B07G122JJN","Return of the God Hypothesis: Three Scientific Discoveries That Reveal the Mind Behind the Universe","Meyer, Stephen C.:","N/A"
"B00A2DIW3C","Skunk Works: A Personal Memoir of My Years of Lockheed","Janos, Leo:Rich, Ben R.:","N/A"
"B01C9116AK","The Hidden Life of Trees: What They Feel, How They Communicate—Discoveries from A Secret World (The Mysteries of Nature Book 1)","Wohlleben, Peter:","N/A"
"B078VW3VM7","Bad Blood: Secrets and Lies in a Silicon Valley Startup","Carreyrou, John:","N/A"
"B077ZCGT8N","The Molecule of More: How a Single Chemical in Your Brain Drives Love, Sex, and Creativity--and Will Determine the Fate of the Human Race","Lieberman, Daniel Z.:Long, Michael E.:","N/A"
"B09KKJDZFX","Rehab Science: How to Overcome Pain and Heal from Injury","Walters, Tom:Cordoza, Glen:","N/A"
"B085T55LGK","The Alignment Problem: Machine Learning and Human Values","Christian, Brian:","N/A"
"B09PLL8CYZ","Lies My Doctor Told Me Second Edition: Medical Myths That Can Harm Your Health","Berry, MD, Ken D.:","N/A"
"B008AK8FHM","Proof of Heaven: A Neurosurgeon's Journey into the Afterlife","Alexander III M.D., Eben:","N/A"
"B07K6MF8MD","Ultralearning: Master Hard Skills, Outsmart the Competition, and Accelerate Your Career","Young, Scott H.:","N/A"
"B073TVX3SX","The Unexpected Joy of Being Sober: Discovering a happy, healthy, wealthy alcohol-free life","Gray, Catherine:","N/A"
"B07WKJS8P1","Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures","Sheldrake, Merlin:","N/A"
"B0C3D6X1RW","Younger for Life: Feel Great and Look Your Best with the New Science of Autojuvenation","Youn, Anthony:","N/A"
"B07ZKZ2NRN","Why We Get Sick: The Hidden Epidemic at the Root of Most Chronic Disease--and How to Fight It","Bikman, Benjamin:","N/A"
"B0C3N95LW4","Deception: The Great Covid Cover-Up","Paul, Rand:","N/A"
"B07J4RMSNQ","The Emotion Code: How to Release Your Trapped Emotions for Abundant Health, Love, and Happiness (Updated and Expanded Edition)","Nelson, Bradley:","N/A"
"B00QPHURT6","How Emotions Are Made: The Secret Life of the Brain","Barrett, Lisa Feldman:","N/A"
